Theme,Subject,Body
Tech support scam,Windows Security Alert - Immediate Fix Required,Your system is infected with malware. Contact our certified technicians or download the fix here. [malicious link]
Romance scam,I can't stop thinking about you,"Ever since we met online, I felt a deep connection. I'd love to get to know you more. Let's chat privately. [malicious link]"
Job recruitment fraud,Job Opportunity at Tesla - Immediate Interview,Your resume stood out. We'd like to schedule an interview this week. Please complete the pre-screening form here. [malicious link]
Tech support scam,Windows Security Alert - Immediate Fix Required,Your system is infected with malware. Contact our certified technicians or download the fix here. [malicious link]
Government agency impersonation,IRS Notification: Refund Eligibility Confirmation Needed,You may be eligible for a refund. Please confirm your identity by filling out the attached form. [malicious link]
Job recruitment fraud,Job Opportunity at Google - Immediate Interview,Your resume stood out. We'd like to schedule an interview this week. Please complete the pre-screening form here. [malicious link]
Fake charity or donation request,Help Needed: Earthquake Relief Fund,Thousands have been affected. Your donation could save lives. Contribute here now. [malicious link]
Voice assistant scam,Alexa subscription issue - Immediate action required,We've detected a billing issue with your Alexa subscription. Please verify your payment details now to avoid service interruption. [malicious link]
Celebrity impersonation,Urgent news from Taylor Swift,"Hi there, this is Taylor. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Fake charity or donation request,Help Needed: Earthquake Relief Fund,Thousands have been affected. Your donation could save lives. Contribute here now. [malicious link]
Romance scam,I can't stop thinking about you,"Ever since we met online, I felt a deep connection. I'd love to get to know you more. Let's chat privately. [malicious link]"
Urgent password reset,Password Reset Request for Your Email Account,"We received a request to reset your password. If this was you, confirm here. If not, secure your account immediately. [malicious link]"
Celebrity impersonation,Urgent news from Elon Musk,"Hi there, this is Elon. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Urgent password reset,Password Reset Request for Your Email Account,"We received a request to reset your password. If this was you, confirm here. If not, secure your account immediately. [malicious link]"
Celebrity impersonation,Urgent news from Taylor Swift,"Hi there, this is Elon. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Government agency impersonation,IRS Notification: Refund Eligibility Confirmation Needed,You may be eligible for a refund. Please confirm your identity by filling out the attached form. [malicious link]
Business email compromise,Urgent: Action Required on Invoice #2689,Please review the attached invoice and confirm payment ASAP. This is time-sensitive and approved by the CFO. [malicious link]
Government agency impersonation,IRS Notification: Refund Eligibility Confirmation Needed,You may be eligible for a refund. Please confirm your identity by filling out the attached form. [malicious link]
Romance scam,I can't stop thinking about you,"Ever since we met online, I felt a deep connection. I'd love to get to know you more. Let's chat privately. [malicious link]"
Business email compromise,Urgent: Action Required on Invoice #9996,Please review the attached invoice and confirm payment ASAP. This is time-sensitive and approved by the CFO. [malicious link]
Financial service spoof,Unusual Activity Detected on Your Bank Account,We've detected unusual activity. Please log in immediately to verify your transactions. [malicious link]
Tech support scam,Windows Security Alert - Immediate Fix Required,Your system is infected with malware. Contact our certified technicians or download the fix here. [malicious link]
Job recruitment fraud,Job Opportunity at Amazon - Immediate Interview,Your resume stood out. We'd like to schedule an interview this week. Please complete the pre-screening form here. [malicious link]
Voice assistant scam,Alexa subscription issue - Immediate action required,We've detected a billing issue with your Alexa subscription. Please verify your payment details now to avoid service interruption. [malicious link]
Financial service spoof,Unusual Activity Detected on Your Bank Account,We've detected unusual activity. Please log in immediately to verify your transactions. [malicious link]
Celebrity impersonation,Exclusive message from Oprah Winfrey,"Hi there, this is Elon. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Fake charity or donation request,Help Needed: Earthquake Relief Fund,Thousands have been affected. Your donation could save lives. Contribute here now. [malicious link]
Celebrity impersonation,Urgent news from Elon Musk,"Hi there, this is Taylor. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Voice assistant scam,Alexa subscription issue - Immediate action required,We've detected a billing issue with your Alexa subscription. Please verify your payment details now to avoid service interruption. [malicious link]
Tech support scam,Windows Security Alert - Immediate Fix Required,Your system is infected with malware. Contact our certified technicians or download the fix here. [malicious link]
Urgent password reset,Password Reset Request for Your Email Account,"We received a request to reset your password. If this was you, confirm here. If not, secure your account immediately. [malicious link]"
Financial service spoof,Unusual Activity Detected on Your Bank Account,We've detected unusual activity. Please log in immediately to verify your transactions. [malicious link]
Celebrity impersonation,Private video from Oprah Winfrey,"Hi there, this is Taylor. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Romance scam,I can't stop thinking about you,"Ever since we met online, I felt a deep connection. I'd love to get to know you more. Let's chat privately. [malicious link]"
Urgent password reset,Password Reset Request for Your Email Account,"We received a request to reset your password. If this was you, confirm here. If not, secure your account immediately. [malicious link]"
Financial service spoof,Unusual Activity Detected on Your Bank Account,We've detected unusual activity. Please log in immediately to verify your transactions. [malicious link]
Celebrity impersonation,Private video from Oprah Winfrey,"Hi there, this is Elon. I have something important to share with you. Click the link below to see it now. This is just between us. [malicious link]"
Urgent password reset,Password Reset Request for Your Email Account,"We received a request to reset your password. If this was you, confirm here. If not, secure your account immediately. [malicious link]"
Financial service spoof,Unusual Activity Detected on Your Bank Account,We've detected unusual activity. Please log in immediately to verify your transactions. [malicious link]
Job recruitment fraud,Job Opportunity at Tesla - Immediate Interview,Your resume stood out. We'd like to schedule an interview this week. Please complete the pre-screening form here. [malicious link]
